annee,mois,ca_ttc,nb_transactions
2019,1,1554662.966,5719
2019,2,1608214.283,6001
2019,3,2066860.87,8625
2019,4,1046259.496,4483
2019,5,1136917.711,3951
2019,6,1123703.989,4291
2019,7,1239488.636,4773
2019,8,1458110.638,4422
2019,9,1835902.973,5858
2019,10,1900699.3,6556
2019,11,1533590.29,5188
2019,12,893195.115,3384
2020,1,2033175.045,6469
2020,2,2308845.444,8899
2020,3,2640401.54,5211
2020,4,1005785.845,2788
2020,5,1011067.88,3287
2020,6,2032389.526,7626
2020,7,1722047.772,6683
2020,8,1982822.327,5948
2020,9,2362251.241,6334
2020,10,2658213.781,6235
2020,11,2329290.165,6942
2020,12,1254413.459,4485
2021,1,5824931.07,8653
2021,2,2511149.216,7471
2021,3,1176821.307,4860
2021,4,2298623.119,6214
2021,5,2019262.254,4425
2021,6,4202392.795,7160
2021,7,4817471.735,5120
2021,8,2650271.462,5168
2021,9,2113873.513,5537
2021,10,1871647.187,5057
2021,11,3158059.32,6982
2021,12,741182.325,2177
2022,1,8893451.437,11546
2022,2,1335017.83,4100
2022,3,1413013.866,4968
2022,4,1124845.344,3564
2022,5,2057633.227,7548
2022,6,1982291.582,7387
2022,7,3096971.316,7598
2022,8,2520086.316,8274
2022,9,2104094.964,6092
2022,10,2161153.978,5954
2022,11,3698072.442,6499
2022,12,1961634.128,5540
2023,1,5956320.545,7112
2023,2,1733688.856,4652
2023,3,1545919.89,6567
2023,4,1057756.5,4811
2023,5,2549702.045,8656
2023,6,1817116.361,7334
2023,7,2824984.042,7436
2023,8,2101741.781,6987
2023,9,2315638.659,6158
2023,10,3353557.675,8080
2023,11,2912881.915,6770
2023,12,2545327.94,6832
2024,1,2642489.196,5674
2024,2,4080500.899,7029
2024,3,1980704.968,4728
2024,4,2598709.987,4750
2024,5,2145257.936,5608
2024,6,2281515.323,5899
2024,7,1991378.021,4799
2024,8,4675108.749,6482
2024,9,2162705.63,5572
2024,10,2521846.18,7100
2024,11,3120602.812,7251
2024,12,3596023.505,5986
2025,1,1706747.698,4025
2025,2,3289436.492,5943
2025,3,2666642.27,5883
2025,4,4218195.026,6744
2025,5,2312976.122,5300
2025,6,2260249.671,4674
2025,7,2151565.09,4829
2025,8,5110960.283,6504
2025,9,2986284.633,6966
2025,10,3301865.724,7656
2025,11,2938793.127,6168
2025,12,5395188.495,5948
2026,1,1559213.351,2802
