id_annimatrice,annee,nb_visites,nb_pharmacies,taux_finalisation
95,2017,90,46,67.8
96,2017,181,31,92.3
96,2018,205,18,89.8
96,2019,120,14,83.3
97,2017,206,70,82.0
97,2018,226,43,92.0
97,2019,24,13,91.7
98,2017,179,80,75.4
98,2018,115,41,86.1
99,2017,93,54,52.7
100,2017,95,67,71.6
101,2017,178,45,92.1
101,2018,162,50,88.9
102,2017,186,37,86.6
102,2018,256,30,83.2
102,2019,170,15,90.6
103,2017,59,27,89.8
104,2017,186,51,86.6
104,2018,13,13,7.7
108,2017,31,13,87.1
115,2017,5,5,0.0
118,2017,85,34,71.8
120,2017,91,43,81.3
121,2017,64,35,76.6
122,2017,6,6,83.3
122,2018,230,30,92.2
122,2019,18,12,83.3
127,2018,245,49,85.3
128,2018,97,39,89.7
128,2019,112,44,84.8
130,2018,217,53,88.5
134,2018,41,14,92.7
134,2019,1,1,100.0
138,2018,34,13,94.1
138,2019,230,64,82.6
138,2020,20,8,50.0
170,2019,191,67,87.4
170,2020,19,8,78.9
171,2019,66,17,83.3
173,2019,107,50,87.9
174,2019,212,30,91.0
174,2020,155,18,78.7
180,2019,101,18,95.0
180,2020,221,22,91.0
180,2021,128,21,75.0
185,2019,26,17,88.5
193,2019,17,10,29.4
197,2019,9,8,66.7
197,2020,231,23,84.0
197,2021,194,21,87.6
197,2022,2,2,0.0
229,2020,144,21,77.8
229,2021,262,31,82.4
229,2022,260,40,86.2
229,2023,183,25,82.5
229,2024,278,32,86.3
229,2025,282,28,80.9
242,2020,30,18,90.0
242,2021,223,53,74.9
242,2022,8,7,0.0
245,2021,10,6,0.0
246,2021,134,30,90.3
246,2022,3,3,0.0
247,2021,24,17,41.7
248,2021,9,8,33.3
253,2021,95,21,80.0
334,2021,46,12,97.8
334,2022,271,55,92.6
334,2023,250,51,96.8
334,2024,297,34,94.6
334,2025,213,21,93.0
335,2021,45,17,100.0
335,2022,265,19,86.8
335,2023,4,4,0.0
336,2021,50,14,94.0
336,2022,303,49,93.1
336,2023,318,32,96.5
336,2024,335,16,95.8
336,2025,318,19,96.2
369,2022,253,28,92.1
369,2023,236,30,98.7
369,2024,242,30,93.0
369,2025,226,21,97.8
369,2026,10,6,90.0
372,2022,297,34,83.5
372,2023,311,30,90.4
372,2024,308,22,84.4
372,2025,250,19,89.2
497,2023,51,16,92.2
498,2023,244,11,96.3
498,2024,259,12,94.2
498,2025,245,16,92.7
498,2026,11,7,54.5
504,2023,36,15,94.4
596,2024,237,35,91.1
596,2025,243,24,93.4
596,2026,9,5,100.0
