venue_id,venue_name,venue_address,latitude,longitude,forecast_available,day_int,day_text,day_mean,day_max,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ven_30514d4a636b2d757a486d5249525f304d4869316455554a496843,Pharmacie TUNIS Ben Yahmed A-Hصيدلية,"8 bis Rue Mongi Slim, Tunis 1000, Tunisia",36.7997016,10.1759602,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,0,Monday,62,96,0,0,35,45,45,40,45,50,50,45,55,65,75,80,80,90,95,95,0,0,0,0,0,0
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,1,Tuesday,54,90,0,0,35,25,30,35,40,35,30,30,45,55,80,85,90,90,85,70,0,0,0,0,0,0
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,2,Wednesday,57,93,0,0,35,30,45,45,45,40,35,40,45,60,70,80,85,90,95,75,0,0,0,0,0,0
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,3,Thursday,50,62,0,0,35,30,40,35,35,45,55,60,60,60,60,60,60,60,60,50,0,0,0,0,0,0
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,4,Friday,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,5,Saturday,63,100,0,0,35,40,40,50,45,45,45,55,55,60,70,85,100,100,100,85,0,0,0,0,0,0
ven_306679396d36624150357a5251525f5f397737637058474a496843,Tunis Pharm,kamal nasser st دوار درابيه حي النصر Gaza,31.5361906,34.4562416,TRUE,6,Sunday,61,95,0,0,35,35,35,35,35,40,45,55,55,75,85,90,95,90,90,80,0,0,0,0,0,0
ven_3430466e6c3434716852415249525f30775762366f30714a496843,Pharmacie,"Q5XP+PGV, Rue de Turquie, Tunis, Tunisia",36.7993663,10.1862865,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_3832496f357445382d586d52496834314367644c3633504a496843,Pharmacie Jamila Khrouf,"Av. 14 Janvier, Site archéologique de Carthage, Tunisia",36.8727923,10.340078,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_3842334d4d376b53384b685249525f30306f39424c2d494a496843,ordre des pharmaciens,"56 Rue Ibn Charaf, Tunis, Tunisia",36.8257467,10.186229,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,0,Monday,56,100,0,0,55,50,60,60,55,0,0,55,80,100,95,85,0,0,0,0,0,0,0,0,0,0
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,1,Tuesday,33,92,0,0,30,35,40,25,30,0,0,25,35,60,90,75,0,0,0,0,0,0,0,0,0,0
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,2,Wednesday,48,100,0,0,30,40,60,55,75,0,0,45,40,75,100,100,0,0,0,0,0,0,0,0,0,0
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,3,Thursday,38,84,0,0,15,25,50,55,60,0,0,30,45,60,85,100,0,0,0,0,0,0,0,0,0,0
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,4,Friday,48,84,0,0,30,40,55,55,70,0,0,55,70,75,85,65,0,0,0,0,0,0,0,0,0,0
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,5,Saturday,45,53,0,0,45,45,55,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
