id_pharmay,total_visites,premiere_visite,derniere_visite,nb_delegues,jours_depuis_visite
3752,9,2017-05-12,2020-01-27,2,2243
3753,11,2017-03-17,2024-06-27,8,630
3798,1,2023-04-19,2023-04-19,1,1065
3870,1,2017-03-16,2017-03-16,1,3290
3926,34,2023-07-18,2025-05-09,1,314
3987,1,2022-10-28,2022-10-28,1,1238
4085,58,2017-04-14,2025-06-12,11,280
4089,1,2017-04-07,2017-04-07,1,3268
4095,50,2017-05-17,2025-07-21,8,241
4136,2,2017-04-17,2017-05-02,1,3243
4139,28,2017-04-26,2019-09-12,11,2380
4219,52,2017-04-05,2024-09-20,9,545
4283,1,2017-06-05,2017-06-05,1,3209
4396,162,2022-03-11,2025-12-30,2,79
4400,13,2017-03-17,2023-08-25,4,937
4465,16,2017-04-06,2023-05-29,12,1025
4525,5,2024-09-25,2025-06-11,1,281
4729,37,2022-02-24,2025-08-06,2,225
4791,4,2017-04-21,2018-02-06,4,2963
4823,1,2017-04-12,2017-04-12,1,3263
4892,1,2017-04-12,2017-04-12,1,3263
4894,1,2017-10-19,2017-10-19,1,3073
5043,1,2022-05-11,2022-05-11,1,1408
5063,2,2020-11-19,2023-07-03,2,990
5086,1,2017-05-20,2017-05-20,1,3225
5159,13,2017-04-06,2019-04-10,3,2535
5169,1,2021-03-01,2021-03-01,1,1844
5205,3,2017-08-16,2017-09-28,2,3094
5226,16,2017-04-05,2021-08-30,9,1662
5245,43,2017-04-07,2023-03-29,12,1086
5280,1,2019-04-30,2019-04-30,1,2515
5310,3,2018-03-30,2018-04-13,2,2897
5336,6,2017-04-24,2019-08-09,5,2414
5356,12,2019-03-18,2023-09-22,7,909
5358,3,2017-04-07,2021-03-26,3,1819
5386,4,2021-03-19,2022-07-31,3,1327
5398,1,2019-04-15,2019-04-15,1,2530
5459,21,2017-04-05,2019-04-01,9,2544
5469,20,2018-04-04,2020-11-30,7,1935
5473,9,2018-02-13,2020-12-01,3,1934
5652,2,2017-04-13,2017-04-13,2,3262
5686,1,2017-04-07,2017-04-07,1,3268
5721,5,2017-06-12,2018-12-24,4,2642
5745,4,2019-07-04,2019-10-04,2,2358
5809,3,2017-11-01,2018-04-13,3,2897
5815,105,2017-03-22,2025-05-26,17,297
5823,8,2017-03-14,2018-09-25,5,2732
5830,129,2022-05-21,2025-12-29,1,80
5833,2,2018-09-20,2021-06-30,2,1723
5856,7,2017-05-04,2018-02-09,5,2960
5862,10,2020-11-24,2022-05-11,2,1408
5871,1,2017-04-24,2017-04-24,1,3251
5885,37,2017-04-11,2019-10-21,11,2341
5911,34,2025-01-27,2025-12-22,1,87
5912,1,2022-05-20,2022-05-20,1,1399
5968,58,2017-04-13,2025-07-30,17,232
6003,1,2018-05-11,2018-05-11,1,2869
6024,19,2017-10-17,2025-12-16,2,93
6049,62,2017-03-16,2025-12-19,5,90
6116,3,2022-03-15,2022-08-26,1,1301
6134,1,2022-04-22,2022-04-22,1,1427
6137,91,2017-03-24,2025-12-22,6,87
6144,34,2017-03-17,2023-02-24,4,1119
6206,150,2017-12-19,2024-08-30,4,566
6297,34,2022-02-15,2025-10-21,1,149
6298,3,2019-08-27,2022-04-06,2,1443
6303,2,2022-03-07,2022-03-30,1,1450
6344,151,2022-04-13,2025-12-25,1,84
6347,64,2022-02-18,2025-12-15,1,94
6393,2,2018-04-16,2018-07-20,1,2799
6394,91,2018-07-18,2025-12-11,2,98
6451,49,2017-05-05,2025-11-03,7,136
6453,1,2023-07-14,2023-07-14,1,979
6489,1,2023-07-14,2023-07-14,1,979
6515,20,2017-03-21,2019-08-26,2,2397
6516,5,2022-04-12,2025-03-27,1,357
6527,50,2022-02-23,2025-12-24,1,85
6562,1,2022-03-16,2022-03-16,1,1464
6569,11,2022-05-19,2024-12-26,1,448
6586,65,2022-05-30,2025-12-09,2,100
6638,5,2022-04-01,2025-04-15,2,338
6659,27,2017-04-26,2025-01-30,4,413
6696,17,2017-04-27,2019-03-28,2,2548
6699,9,2017-04-24,2018-12-05,2,2661
6821,16,2017-09-29,2023-04-24,3,1060
6832,18,2017-04-25,2025-01-31,4,412
6858,5,2020-07-15,2021-09-30,1,1631
6902,7,2021-01-20,2023-04-24,2,1060
6905,8,2020-07-14,2023-04-24,2,1060
6912,6,2017-07-21,2018-04-06,2,2904
7004,1,2024-02-07,2024-02-07,1,771
7027,3,2018-03-09,2018-07-03,3,2816
7038,12,2018-04-26,2018-12-26,2,2640
7040,4,2017-12-22,2018-07-17,3,2802
7042,7,2017-12-20,2022-11-03,5,1232
7046,1,2018-03-09,2018-03-09,1,2932
7049,2,2018-04-24,2018-11-09,2,2687
7062,4,2017-12-18,2022-10-31,4,1235
7081,1,2024-02-08,2024-02-08,1,770
7137,4,2018-04-25,2018-07-12,3,2807
7147,9,2017-12-21,2022-11-02,4,1233
7162,2,2017-12-19,2018-03-05,1,2936
7169,9,2018-03-06,2024-02-06,6,772
7243,1,2018-04-06,2018-04-06,1,2904
7315,1,2022-08-02,2022-08-02,1,1325
7371,1,2017-03-21,2017-03-21,1,3285
7384,50,2017-03-21,2025-12-02,7,107
7387,4,2017-03-22,2024-06-18,2,639
7429,1,2017-03-22,2017-03-22,1,3284
7562,29,2017-04-26,2025-10-09,7,161
7705,5,2024-07-02,2025-10-23,1,147
7729,1,2017-08-09,2017-08-09,1,3144
7861,2,2018-08-02,2024-03-08,2,741
7896,11,2017-12-22,2024-03-05,5,744
7929,3,2018-08-01,2024-03-07,2,742
7933,6,2017-12-22,2018-11-28,3,2668
7948,1,2024-03-06,2024-03-06,1,743
8078,3,2018-10-09,2018-12-11,1,2655
8160,1,2017-04-07,2017-04-07,1,3268
