rep_id,year,month,month_name,nb_conversations,avg_overall_score,success_rate,pct_excellent,pct_poor,avg_duration
REP001,2025,9,September,4,8.425,0.75,0.75,0.0,5.142
REP001,2025,11,November,5,6.4,0.2,0.2,0.4,6.414
REP001,2025,12,December,2,6.65,0.0,0.0,0.0,4.89
REP001,2026,1,January,5,7.1,0.4,0.4,0.2,6.29
REP002,2025,9,September,7,6.8,0.429,0.429,0.286,6.186
REP002,2025,10,October,4,7.35,0.5,0.5,0.25,7.047
REP002,2025,11,November,3,6.933,0.0,0.0,0.0,4.337
REP002,2025,12,December,3,5.933,0.0,0.0,0.333,6.477
REP002,2026,1,January,2,7.7,0.5,0.5,0.0,5.875
REP002,2026,2,February,1,9.0,1.0,1.0,0.0,4.08
REP003,2025,9,September,7,7.771,0.571,0.571,0.0,4.69
REP003,2025,10,October,4,6.525,0.0,0.0,0.0,5.815
REP003,2025,11,November,3,6.567,0.0,0.0,0.0,4.963
REP003,2025,12,December,5,7.34,0.2,0.2,0.0,5.66
REP003,2026,1,January,5,7.14,0.2,0.2,0.0,4.97
REP003,2026,2,February,2,7.25,0.5,0.5,0.0,6.7
REP004,2025,9,September,3,6.967,0.333,0.333,0.333,8.623
REP004,2025,11,November,4,8.45,0.75,0.75,0.0,6.65
REP004,2025,12,December,1,8.6,1.0,1.0,0.0,7.18
REP004,2026,1,January,3,7.367,0.667,0.667,0.333,6.583
REP004,2026,2,February,3,7.7,0.333,0.333,0.0,5.67
REP005,2025,8,August,2,8.0,0.5,0.5,0.0,3.485
REP005,2025,9,September,4,7.2,0.5,0.5,0.25,6.278
REP005,2025,10,October,2,4.9,0.0,0.0,0.5,3.265
REP005,2025,11,November,3,6.6,0.0,0.0,0.0,8.237
REP005,2025,12,December,2,5.3,0.0,0.0,0.5,7.84
REP005,2026,1,January,5,7.9,0.6,0.6,0.2,6.946
REP005,2026,2,February,2,4.75,0.0,0.0,1.0,6.03
REP006,2025,8,August,1,6.8,0.0,0.0,0.0,8.57
REP006,2025,9,September,4,5.975,0.0,0.0,0.25,5.64
REP006,2025,10,October,3,7.667,0.333,0.333,0.0,6.45
REP006,2025,11,November,3,5.767,0.0,0.0,0.333,6.167
REP006,2025,12,December,2,6.65,0.5,0.5,0.5,6.52
REP006,2026,2,February,2,7.75,0.5,0.5,0.0,5.4
REP007,2025,9,September,5,6.62,0.4,0.4,0.4,6.396
REP007,2025,10,October,1,6.4,0.0,0.0,0.0,4.67
REP007,2025,12,December,4,7.6,0.5,0.5,0.25,6.618
REP007,2026,1,January,2,7.95,0.5,0.5,0.0,5.125
REP008,2025,9,September,4,6.45,0.25,0.25,0.25,5.618
REP008,2025,10,October,3,7.433,0.333,0.333,0.0,3.973
REP008,2025,11,November,3,7.233,0.667,0.667,0.333,7.617
REP008,2025,12,December,4,5.675,0.25,0.25,0.5,6.15
REP008,2026,1,January,1,8.9,1.0,1.0,0.0,2.4
REP009,2025,8,August,1,4.1,0.0,0.0,1.0,8.07
REP009,2025,9,September,2,7.75,0.5,0.5,0.0,4.985
REP009,2025,10,October,4,7.05,0.0,0.0,0.0,3.14
REP009,2025,11,November,1,6.6,0.0,0.0,0.0,9.85
