venue_id,venue_name_clean,venue_address,latitude,longitude,geo_zone,distance_from_tunis_km,weekly_avg_traffic,weekly_peak_traffic,traffic_variability,traffic_category,traffic_profile,best_visit_period,avg_optimal_hours_day,visit_priority_score,busiest_day,quietest_day,best_morning_traffic,best_midi_traffic,best_afternoon_traffic,best_evening_traffic
ven_3862787541576551774451524952563752676e4e69784b4a496843,Pharmacie de Nuit metouia (WIEM GAIED EP HASSINE ),P15 Avenue Habib Bourguiba Métouia 6010 Tunisia,33.9594994,10.0004322,Centre-Sud,318.31,38.57,100.0,8.56,Haute fréquentation,Pic matin,Soir (18-20h),13.86,7.25,Lundi,Dimanche,41.61,40.0,36.25,29.52
ven_595572303032706a55746b5249525f7a674f6134415a5f4a496843,Karai Night Pharmacy,"12 Avenue Abdelaziz AL SAOUD, Tunis 2092, Tunisia",36.8419999,10.1637068,Grand Tunis,2.56,22.14,100.0,3.26,Fréquentation moyenne,Pic après-midi,Midi (12-13h),8.29,6.67,Jeudi,Samedi,0.0,22.14,54.29,43.57
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,Grand Tunis,2.4,26.84,100.0,3.97,Fréquentation moyenne,Pic matin,Midi (12-13h),5.86,6.58,Lundi,Dimanche,55.0,45.0,0.0,0.0
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",36.7904042,10.179664,Nord-Est,3.41,24.05,100.0,3.87,Fréquentation moyenne,Pic après-midi,Midi (12-13h),6.57,6.45,Vendredi,Mercredi,0.0,32.86,66.96,38.1
ven_6f58724642516b74484179524968344c545152667958374a496843,Pharmacie Mustapha MRAD,Av. Ali Belahouane Ariana 2080 Tunisia,36.8619298,10.1868475,Grand Tunis,5.13,27.41,100.0,6.12,Fréquentation moyenne,Pic matin,Midi (12-13h),5.0,6.41,Lundi,Samedi,62.86,48.57,0.0,0.0
ven_73567267334c56344c53315249525f4a427156546237344a496843,Night Pharmacy,P8R3+43J Ez Zahra Tunisia,36.7403317,10.3026304,Nord-Est,15.0,18.09,100.0,2.83,Faible fréquentation,Pic après-midi,Soir (18-20h),8.29,6.17,Lundi,Mercredi,0.0,25.0,55.36,25.48
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,Nord-Est,8.11,21.88,100.0,3.86,Fréquentation moyenne,Pic après-midi,Midi (12-13h),6.43,6.16,Lundi,Dimanche,0.0,31.07,52.68,39.53
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,Nord-Est,9.3,15.83,100.0,3.31,Faible fréquentation,Pic après-midi,Soir (18-20h),9.0,6.15,Dimanche,Lundi,0.0,16.79,35.71,28.33
ven_6b67377933776c764d4653524968344c624868307355754a496843,Pharmacie de Nuit Jihene Dziri Ghroubi,V5XJ+J8Q Unnamed Road Cebalat Tunisia,36.8990914,10.180846,Grand Tunis,9.01,17.98,100.0,12.38,Faible fréquentation,Pic après-midi,Soir (18-20h),7.29,5.97,Jeudi,Lundi,4.11,11.79,52.5,21.19
ven_3068424a584946366931595249525f316b4d63344e59524a496843,Naziha Cheikh Night Pharmacy,"Ariana, Tunisia",36.8563096,10.1785261,Grand Tunis,4.3,19.7,100.0,3.58,Faible fréquentation,Pic après-midi,Midi (12-13h),6.0,5.87,Dimanche,Samedi,0.0,29.64,59.46,27.62
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,Grand Tunis,1.36,21.52,100.0,12.03,Fréquentation moyenne,Pic matin,Midi (12-13h),4.71,5.77,Lundi,Dimanche,41.79,40.0,0.0,0.0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,Nord-Est,5.22,17.2,100.0,9.04,Faible fréquentation,Pic matin,Midi (12-13h),6.57,5.75,Jeudi,Dimanche,40.89,37.86,0.0,0.0
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,Nord-Est,6.72,22.71,100.0,7.0,Fréquentation moyenne,Pic de midi,Matin (8-11h),4.0,5.69,Dimanche,Samedi,37.86,75.71,0.0,0.0
ven_774967702d677053785f725249525f4a56454d423256794a496843,Pharmacie de Nuit Olfa belhadj,P7MV+GQJ Boumhel El Bassatine Tunisia,36.7337289,10.2944952,Nord-Est,14.88,16.97,100.0,4.84,Faible fréquentation,Pic après-midi,Midi (12-13h),6.71,5.68,Jeudi,Mercredi,0.0,26.07,54.64,22.14
