venue_id,venue_name_clean,nb_days_forecast,weekly_avg_traffic,weekly_peak_traffic,weekly_min_traffic,traffic_variability,avg_optimal_hours_day,avg_peak_hour,busiest_day,quietest_day,best_morning_traffic,best_midi_traffic,best_afternoon_traffic,best_evening_traffic,latitude,longitude,geo_zone,distance_from_tunis_km,venue_address,best_visit_period,traffic_category,traffic_profile,visit_priority_score
ven_3862787541576551774451524952563752676e4e69784b4a496843,Pharmacie de Nuit metouia (WIEM GAIED EP HASSINE ),7,38.57,100.0,25.42,8.56,13.86,11.57,Lundi,Dimanche,41.61,40.0,36.25,29.52,33.9594994,10.0004322,Centre-Sud,318.31,P15 Avenue Habib Bourguiba Métouia 6010 Tunisia,Soir (18-20h),Haute fréquentation,Pic matin,7.25
ven_595572303032706a55746b5249525f7a674f6134415a5f4a496843,Karai Night Pharmacy,7,22.14,100.0,17.92,3.26,8.29,18.43,Jeudi,Samedi,0.0,22.14,54.29,43.57,36.8419999,10.1637068,Grand Tunis,2.56,"12 Avenue Abdelaziz AL SAOUD, Tunis 2092, Tunisia",Midi (12-13h),Fréquentation moyenne,Pic après-midi,6.67
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,7,26.84,100.0,18.33,3.97,5.86,5.86,Lundi,Dimanche,55.0,45.0,0.0,0.0,36.800496,10.1795993,Grand Tunis,2.4,"9 Rue d'Alger, Tunis 1000, Tunisia",Midi (12-13h),Fréquentation moyenne,Pic matin,6.58
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,7,24.05,100.0,16.67,3.87,6.57,14.29,Vendredi,Mercredi,0.0,32.86,66.96,38.1,36.7904042,10.179664,Nord-Est,3.41,"Q5RH+5V7, Rue Sidi El Bechir, Tunis, Tunisia",Midi (12-13h),Fréquentation moyenne,Pic après-midi,6.45
ven_6f58724642516b74484179524968344c545152667958374a496843,Pharmacie Mustapha MRAD,7,27.41,100.0,18.75,6.12,5.0,8.57,Lundi,Samedi,62.86,48.57,0.0,0.0,36.8619298,10.1868475,Grand Tunis,5.13,Av. Ali Belahouane Ariana 2080 Tunisia,Midi (12-13h),Fréquentation moyenne,Pic matin,6.41
ven_73567267334c56344c53315249525f4a427156546237344a496843,Night Pharmacy,7,18.09,100.0,14.38,2.83,8.29,14.0,Lundi,Mercredi,0.0,25.0,55.36,25.48,36.7403317,10.3026304,Nord-Est,15.0,P8R3+43J Ez Zahra Tunisia,Soir (18-20h),Faible fréquentation,Pic après-midi,6.17
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,7,21.88,100.0,16.04,3.86,6.43,16.14,Lundi,Dimanche,0.0,31.07,52.68,39.53,36.7699737,10.2332015,Nord-Est,8.11,Mégrine Tunisia,Midi (12-13h),Fréquentation moyenne,Pic après-midi,6.16
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,7,15.83,100.0,12.5,3.31,9.0,17.0,Dimanche,Lundi,0.0,16.79,35.71,28.33,36.7504514,10.2257058,Nord-Est,9.3,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,Soir (18-20h),Faible fréquentation,Pic après-midi,6.15
ven_6b67377933776c764d4653524968344c624868307355754a496843,Pharmacie de Nuit Jihene Dziri Ghroubi,7,17.98,100.0,8.75,12.38,7.29,13.71,Jeudi,Lundi,4.11,11.79,52.5,21.19,36.8990914,10.180846,Grand Tunis,9.01,V5XJ+J8Q Unnamed Road Cebalat Tunisia,Soir (18-20h),Faible fréquentation,Pic après-midi,5.97
ven_3068424a584946366931595249525f316b4d63344e59524a496843,Naziha Cheikh Night Pharmacy,7,19.7,100.0,13.33,3.58,6.0,14.43,Dimanche,Samedi,0.0,29.64,59.46,27.62,36.8563096,10.1785261,Grand Tunis,4.3,"Ariana, Tunisia",Midi (12-13h),Faible fréquentation,Pic après-midi,5.87
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,7,21.52,100.0,0.0,12.03,4.71,5.57,Lundi,Dimanche,41.79,40.0,0.0,0.0,36.8165964,10.1807976,Grand Tunis,1.36,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",Midi (12-13h),Fréquentation moyenne,Pic matin,5.77
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,7,17.2,100.0,0.0,9.04,6.57,7.57,Jeudi,Dimanche,40.89,37.86,0.0,0.0,36.7756124,10.1881268,Nord-Est,5.22,"84 Ave de Bellevue, Tunis 1009, Tunisia",Midi (12-13h),Faible fréquentation,Pic matin,5.75
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,7,22.71,100.0,9.38,7.0,4.0,11.0,Dimanche,Samedi,37.86,75.71,0.0,0.0,36.7608942,10.1865762,Nord-Est,6.72,3 rue 10236 Cité Avicenne 2066 Tunisia,Matin (8-11h),Fréquentation moyenne,Pic de midi,5.69
ven_774967702d677053785f725249525f4a56454d423256794a496843,Pharmacie de Nuit Olfa belhadj,7,16.97,100.0,8.96,4.84,6.71,14.71,Jeudi,Mercredi,0.0,26.07,54.64,22.14,36.7337289,10.2944952,Nord-Est,14.88,P7MV+GQJ Boumhel El Bassatine Tunisia,Midi (12-13h),Faible fréquentation,Pic après-midi,5.68
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,7,16.76,100.0,11.25,3.1,5.29,14.29,Vendredi,Lundi,0.0,26.79,55.18,21.19,36.767909,10.2734098,Nord-Est,11.14,Q79F+597 Av. De La République Radès Tunisia,Midi (12-13h),Faible fréquentation,Pic après-midi,5.36
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,7,16.94,100.0,0.0,12.38,4.71,4.43,Jeudi,Mardi,37.68,29.64,0.0,0.0,36.8362671,10.1937208,Grand Tunis,3.14,R5PV+GF5 Tunis Tunisia,Midi (12-13h),Faible fréquentation,Pic matin,5.3
ven_495645516651456a694a36524968344c4c6b61414159654a496843,Pharmacie de nuit,7,16.64,100.0,13.96,1.96,4.43,13.71,Jeudi,Mardi,0.0,33.93,56.43,18.1,36.8793585,10.1854167,Grand Tunis,6.93,55 Av. Fethi Zouhir Ariana Tunisia,Midi (12-13h),Faible fréquentation,Pic après-midi,5.17
ven_59713858727239724946595249525f313436495062646a4a496843,Ariana Night Pharmacy,7,17.2,100.0,13.33,1.96,3.86,14.29,Lundi,Jeudi,0.0,27.14,65.54,17.62,36.8549488,10.1872781,Grand Tunis,4.43,"V53P+XWC, Av. Habib Bourguiba, Tunis, Tunisia",Midi (12-13h),Faible fréquentation,Pic après-midi,5.11
ven_5951444c3775425854544352495256784e627462792d384a496843,Pharmacie de nuit bouchemma,7,21.61,100.0,16.46,7.03,12.0,11.71,Dimanche,Jeudi,33.57,33.21,33.75,27.14,33.9064237,10.0600999,Centre-Sud,324.01,Unnamed Road Chenini Nahal Tunisia,Soir (18-20h),Fréquentation moyenne,Pic après-midi,5.05
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,7,15.86,100.0,11.67,3.0,3.43,14.29,Dimanche,Mercredi,0.0,30.0,59.29,14.29,36.7244744,10.3015752,Nord-Est,16.02,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,Midi (12-13h),Faible fréquentation,Pic après-midi,4.79
ven_517530745653414851793352495256767042676b30554f4a496843,Pharmacie,7,20.53,100.0,17.5,2.17,7.86,6.86,Dimanche,Jeudi,32.5,44.64,10.71,0.0,33.888077,10.0975221,Centre-Sud,325.96,Cité des infirmiers (à coté de Tasty Lounge Gabès 6014 Tunisia,Matin (8-11h),Fréquentation moyenne,Pic de midi,3.95
ven_596b69495a614b4e46474652495256785a324c526f2d4c4a496843,Pharmacie de nuit Asma Thabti,7,24.17,100.0,19.17,3.67,5.29,16.29,Vendredi,Lundi,0.0,35.36,67.68,37.14,33.8666324,10.0618598,Centre-Sud,328.42,Avenue Habib Bourguiba Chenini -6042 Gabes Gabes 6042 Tunisia,Midi (12-13h),Fréquentation moyenne,Pic après-midi,3.7
ven_736264494f65526678376b5249525676644e474e325f374a496843,Pharmacie De Nuit,7,16.93,100.0,10.62,5.21,7.14,16.57,Dimanche,Samedi,0.0,23.21,38.57,30.71,33.8708134,10.1094091,Centre-Sud,327.86,Rue aboulkacem chebbi 6011 M Manara Tunisia,Soir (18-20h),Faible fréquentation,Pic après-midi,3.4
