venue_id,venue_name_clean,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ven_3043717968656753496f385249525f303467645654354e4a496843,Night Pharmacy,19,18,18,19,14,13,18
ven_3068424a584946366931595249525f316b4d63344e59524a496843,Naziha Cheikh Night Pharmacy,13,18,16,18,19,13,18
ven_3862787541576551774451524952563752676e4e69784b4a496843,Pharmacie de Nuit metouia (WIEM GAIED EP HASSINE ),16,19,8,8,9,10,15
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,17,18,13,18,17,18,17
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,9,9,10,9,9,8,8
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,13,17,16,16,19,19,15
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,16,14,14,13,13,18,16
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,8,13,8,8,12,8,8
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,12,8,13,9,12,13,8
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,14,10,13,11,9,8,8
ven_495645516651456a694a36524968344c4c6b61414159654a496843,Pharmacie de nuit,17,17,17,18,17,17,17
ven_517530745653414851793352495256767042676b30554f4a496843,Pharmacie,8,9,9,8,13,9,11
ven_5951444c3775425854544352495256784e627462792d384a496843,Pharmacie de nuit bouchemma,9,8,8,10,13,14,10
ven_595572303032706a55746b5249525f7a674f6134415a5f4a496843,Karai Night Pharmacy,19,19,13,19,13,13,14
ven_596b69495a614b4e46474652495256785a324c526f2d4c4a496843,Pharmacie de nuit Asma Thabti,17,19,17,18,18,19,14
ven_59713858727239724946595249525f313436495062646a4a496843,Ariana Night Pharmacy,17,18,18,16,13,18,17
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,9,10,12,12,12,8,8
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,13,15,17,17,18,18,17
ven_6b67377933776c764d4653524968344c624868307355754a496843,Pharmacie de Nuit Jihene Dziri Ghroubi,18,17,19,8,17,18,18
ven_6f58724642516b74484179524968344c545152667958374a496843,Pharmacie Mustapha MRAD,13,13,13,13,13,11,13
ven_73567267334c56344c53315249525f4a427156546237344a496843,Night Pharmacy,18,13,18,17,19,18,17
ven_736264494f65526678376b5249525676644e474e325f374a496843,Pharmacie De Nuit,18,19,19,14,15,14,16
ven_774967702d677053785f725249525f4a56454d423256794a496843,Pharmacie de Nuit Olfa belhadj,17,17,18,19,19,18,16
