governorate,time_period,nb_visits,avg_score,success_rate
Ariana,Après-midi,14,6.75,0.07
Ariana,Matin,9,6.74,0.0
Ariana,Midi,15,6.85,0.07
Ben Arous,Après-midi,6,5.78,0.17
Ben Arous,Matin,15,7.45,0.2
Ben Arous,Midi,10,6.69,0.1
Bizerte,Après-midi,21,7.36,0.29
Bizerte,Matin,20,7.47,0.1
Bizerte,Midi,10,7.48,0.3
Gabès,Après-midi,12,6.8,0.17
Gabès,Matin,18,7.7,0.22
Gabès,Midi,11,7.67,0.09
Manouba,Après-midi,9,7.01,0.11
Manouba,Matin,12,7.06,0.25
Manouba,Midi,19,7.27,0.21
Monastir,Après-midi,16,6.44,0.12
Monastir,Matin,26,7.01,0.15
Monastir,Midi,14,7.36,0.14
Nabeul,Après-midi,9,7.79,0.33
Nabeul,Matin,19,7.22,0.21
Nabeul,Midi,11,7.3,0.36
Sfax,Après-midi,7,7.33,0.29
Sfax,Matin,18,7.16,0.11
Sfax,Midi,7,7.03,0.29
Sousse,Après-midi,9,7.37,0.33
Sousse,Matin,12,6.72,0.17
Sousse,Midi,16,7.67,0.31
Tunis,Après-midi,11,7.12,0.18
Tunis,Matin,15,7.12,0.2
Tunis,Midi,16,6.59,0.12
