name,forme,classe,primary_category,category_count,is_supplement,is_cosmetic,is_medical,is_care_product,is_topical,is_oral,indication_count,is_complete,avatar_priority_score
LV Vitamine A,Créme,Complément alimentaire,Acné,2,1,0,0,0,0,0,7,1,8.5
LV Fersang junior,Sirop,Complément alimentaire,Anémie,2,1,0,0,0,0,1,3,1,7.0
Hydra eau micellaire,Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,6,0,6.25
Alcool de menthe,Liquide,Produit de soin,Troubles de la digestion,2,0,0,0,1,0,1,1,1,4.0
Vitonic Tonus,Gélule,Complément alimentaire,Revitalisant,1,1,0,0,0,0,1,0,0,0.25
PHYTOFANE Lotion anti chute,Lotion,Lotion Antichute,Anti chute,2,0,0,0,0,1,0,1,1,4.0
Huile de Menthe,Liquide,Complément alimentaire,Ballonnement et gaz,2,1,0,0,0,0,1,2,1,5.5
"LV Sélénium A, C, E Anti-âge",Gélule,Complément alimentaire,Anti-âge,2,1,0,0,0,0,1,1,1,4.0
Omevie Omega 3 - 1000,Capsule,Complément alimentaire,Développement cérébral,3,1,0,0,0,0,1,4,1,8.75
PédiaKids Gelée royale Pollen Propolis,Sirop,Complément alimentaire,Immunité,1,1,0,0,0,0,1,0,0,0.25
Pédiakids lait dermo-nettoyant,Lait,Autre,Peau,1,0,0,0,0,0,0,3,0,4.75
TC 2000 Nutractiva,Gélule,Complément alimentaire,Anti-tâches,1,1,0,0,0,0,1,3,1,6.75
OLIGOVIT Trio,Gélule,Complément alimentaire,Immunité,1,1,0,0,0,0,1,5,1,8.25
Pédiakids Anti-ballonnement,Sirop,Complément alimentaire,Ballonnement et gaz,2,1,0,0,0,0,1,0,0,0.5
Vitonic Allaitement,Gélule,Complément alimentaire,Allaitement,1,1,0,0,0,0,1,0,0,0.25
"Echinacée, Zinc, Vit.C",Gélule,Complément alimentaire,Immunité,1,1,0,0,0,0,1,3,1,6.75
LV Psolcalm,Pommade,Complément alimentaire,psoriasis,1,1,0,0,0,1,0,2,1,5.25
LV Fersang Gélule,Gélule,Complément alimentaire,Anémie,2,1,0,0,0,0,1,0,0,0.5
LV CYSPROTECT,Sachet,Complément alimentaire,Cystites,2,1,0,0,0,0,1,1,1,4.0
Hydra,Crème,Crème,Peau,1,0,0,0,0,1,0,5,1,8.25
MULTIBON IMMUNITÉ,Gummies,Complément alimentaire,Immunité,1,1,0,0,0,0,0,2,1,5.25
